#Mod_Priority,#Mod_Status,#Mod_Name,#Note,#Mod_Nexus_URL,#Download_File_Name
"0079","+","PrivateProfileRedirector AE 0.6.2 (RT 1.6.1170)","","https://www.nexusmods.com/skyrimspecialedition/mods/18860","C:/Users/Leandro/Downloads/PrivateProfileRedirector AE 0.6.2 (RT 1.6.1170)-18860-0-6-2-1727798544.zip"
"0080","+","RaceCompatibility with fixes for SSE","","https://www.nexusmods.com/skyrimspecialedition/mods/2853","C:/Users/Leandro/Downloads/RaceCompatibilty All-In-One Scripted Installer-2853-2-16-1682448886.zip"
"0081","+","RaceMenu Anniversary Edition","","https://www.nexusmods.com/skyrimspecialedition/mods/16","C:/Users/Leandro/Downloads/RaceMenu Anniversary Edition v0-4-19-16-19080-0-4-19-16-1706297897.7z"
"0082","+","Rich Skyrim Merchants","","https://www.nexusmods.com/skyrimspecialedition/mods/1772","C:/Users/Leandro/Downloads/Rich Skyrim Merchants-1772-2-0.rar"
"0083","+","Save & Load Accelerator for SKSE Cosaves (S.L.A.C.K.)","","https://www.nexusmods.com/skyrimspecialedition/mods/163969","C:/Users/Leandro/Downloads/Save and Load Accelerator For SKSE Cosaves-163969-1-3-0-1763232524.zip"
"0084","+","ScreenArcherMenuSkyrim","","","C:/Users/Leandro/Downloads/ScreenArcherMenuSkyrim0.7.2AE.zip"
"0085","+","SCROTE BSA Version","","https://www.nexusmods.com/skyrimspecialedition/mods/97155","C:/Users/Leandro/Downloads/SCROTE BSA Version-97155-1-0-2-1714948522.7z"
"0086","+","Simplicity of Seeding CC","","https://www.nexusmods.com/skyrimspecialedition/mods/94428","C:/Users/Leandro/Downloads/Simplicity of Seeding-94428-0-7-1-1749407522.7z"
"0087","+","SkyPatcher - AE","","https://www.nexusmods.com/skyrimspecialedition/mods/106659","C:/Users/Leandro/Downloads/SkyPatcher - AE-106659-6-3-0-1767461502 (1).zip"
"0088","+","SkyUI_5_2_SE","","https://www.nexusmods.com/skyrimspecialedition/mods/12604","C:/Users/Leandro/Downloads/1170/SkyUI_5_2_SE-12604-5-2SE.7z"
"0089","+","skyrim-freeze-fix","","https://www.nexusmods.com/skyrimspecialedition/mods/160704","C:/Users/Leandro/Downloads/skyrim-freeze-fix-160704-0-0-4-1760281302.7z"
"0090","+","SmoothCam","","https://www.nexusmods.com/skyrimspecialedition/mods/41252","C:/Users/Leandro/Downloads/SmoothCam-41252-1-7-1667161230.zip"
"0091","+","SmoothCam - Galuna's Preset 1.2","","https://www.nexusmods.com/skyrimspecialedition/mods/78397","C:/Users/Leandro/Downloads/SmoothCam - Galuna's Preset 1.2-78397-1-2-1667968672.7z"
"0092","+","Spell Perk Item Distributor","","https://www.nexusmods.com/skyrimspecialedition/mods/36869","C:/Users/Leandro/Downloads/Spell Perk Item Distributor-36869-7-2-0-RC24-1759333447.7z"
"0093","+","Sprint Draw And Sheath Fixes","","https://www.nexusmods.com/skyrimspecialedition/mods/78226","C:/Users/Leandro/Downloads/Sprint Draw And Sheath Fixes-78226-1-4-2-1711978053.rar"
"0094","+","Sprint Sneak Movement Speed Fix","","https://www.nexusmods.com/skyrimspecialedition/mods/86631","C:/Users/Leandro/Downloads/Sprint Sneak Movement Speed Fix-86631-1-1-2-1702208975.zip"
"0095","+","Sprint Stuttering Fix","","https://www.nexusmods.com/skyrimspecialedition/mods/140804","C:/Users/Leandro/Downloads/Sprint Stuttering Fix-140804-1-0-0-1738697252.zip"
"0096","+","Sprint Swim Redux","","https://www.nexusmods.com/skyrimspecialedition/mods/156417","C:/Users/Leandro/Downloads/Sprint Swim Redux-156417-v1-0-0-1754580779.zip"
"0097","+","SrtCrashFix_SSE v0.3 Beta","","https://www.nexusmods.com/skyrimspecialedition/mods/31146","C:/Users/Leandro/Downloads/SrtCrashFix_SSE v0.3 Beta-31146-0-3-Beta-1577231754.zip"
"0098","+","SSE Display Tweaks","","https://www.nexusmods.com/skyrimspecialedition/mods/34705","C:/Users/Leandro/Downloads/SSE Display Tweaks-34705-0-5-16-1703410713.zip"
"0099","+","Stagger Effect Fix","","https://www.nexusmods.com/skyrimspecialedition/mods/110508","C:/Users/Leandro/Downloads/Stagger Effect Fix-110508-1-0-3-1767962833.7z"
"0100","+","Stress and Fear","","https://www.nexusmods.com/skyrimspecialedition/mods/116522","C:/Users/Leandro/Downloads/Stress and Fear-116522-2-06-1764253521.zip"
"0101","+","Sunder and Wraithguard - Vault Fix CC","","https://www.nexusmods.com/skyrimspecialedition/mods/59083","C:/Users/Leandro/Downloads/Sunder and Wraithguard - Vault Fix-59083-1-0-1637936330.7z"
"0102","+","Survival Mode Improved - SKSE","","https://www.nexusmods.com/skyrimspecialedition/mods/78244","C:/Users/Leandro/Downloads/Survival Mode Improved - SKSE-78244-1-6-3-1769739813.7z"
"0103","+","Survival Mode Improved Exhaustion Widget","","https://www.nexusmods.com/skyrimspecialedition/mods/91878","C:/Users/Leandro/Downloads/Survival Mode Improved Exhaustion Widget-91878-1-0-1684729092.zip"
"0104","+","Survival Mode Improved Hunger Widget","","https://www.nexusmods.com/skyrimspecialedition/mods/91878","C:/Users/Leandro/Downloads/Survival Mode Improved Hunger Widget-91878-1-0-1684729013.zip"
"0105","+","Survival Mode Improved Warmth Widget","","https://www.nexusmods.com/skyrimspecialedition/mods/91878","C:/Users/Leandro/Downloads/Survival Mode Improved Warmth Widget-91878-1-0-1684729172.zip"
"0106","+","Switch Camera During Dialogue","","https://www.nexusmods.com/skyrimspecialedition/mods/95269","C:/Users/Leandro/Downloads/Switch Camera During Dialogue-95269-1-1-1756572381.rar"
"0107","+","TGCR Not a Crime 2.0","","https://www.nexusmods.com/skyrimspecialedition/mods/60895","C:/Users/Leandro/Downloads/TGCR Not a Crime 2.0-60895-2-1-1707636102.rar"
"0108","+","The Cause - Rare Curios Patch CC","","https://www.nexusmods.com/skyrimspecialedition/mods/60405","C:/Users/Leandro/Downloads/The Cause - Rare Curios Patch-60405-1-0-0-1639990500.7z"
"0109","+","True Directional Movement","","https://www.nexusmods.com/skyrimspecialedition/mods/51614","C:/Users/Leandro/Downloads/True Directional Movement-51614-2-2-6-1725670168.7z"
"0110","+","UIExtensions","","https://www.nexusmods.com/skyrimspecialedition/mods/17561","C:/Users/Leandro/Downloads/UIExtensions v1-2-0-17561-1-2-0.7z"
"0111","+","Ultimate Optimized Scripts Compilation","","https://www.nexusmods.com/skyrimspecialedition/mods/122999","C:/Users/Leandro/Downloads/Ultimate Optimized Scripts Compilation-122999-1-7-1770896494.7z"
"0112","+","Unofficial Skyrim Modder's Patch - USMP SE 2.6.7","","https://www.nexusmods.com/skyrimspecialedition/mods/49616","C:/Users/Leandro/Downloads/Unofficial Skyrim Modder's Patch - USMP SE 2.6.7-49616-2-6-7-1764166812.7z"
"0113","+","Unofficial Skyrim Special Edition Patch","","https://www.nexusmods.com/skyrimspecialedition/mods/266","C:/Users/Leandro/Downloads/Unofficial Skyrim Special Edition Patch-266-4-3-6c-1756684569.7z"
"0114","+","Use Or Take SKSE","","https://www.nexusmods.com/skyrimspecialedition/mods/70868","C:/Users/Leandro/Downloads/Use Or Take-70868-1-3-0-1737972237.7z"
"0115","+","Vokrii 3.8.2","","https://www.nexusmods.com/skyrimspecialedition/mods/26176","C:/Users/Leandro/Downloads/Vokrii 3.8.2-26176-3-8-2-1642771755.zip"
"0116","+","Vokrii - Minimalistic Perks of Skyrim - PORTUGUES BR","","https://www.nexusmods.com/skyrimspecialedition/mods/63129","C:/Users/Leandro/Downloads/Vokrii - Minimalistic Perks of Skyrim - PORTUGUES BR-63129-3-8-2-1644073343.rar"
"0117","+","Walking on Water Animations from Underdog","","https://www.nexusmods.com/skyrimspecialedition/mods/96606","C:/Users/Leandro/Downloads/Walking on Water Animations from Underdog-96606-1-0-1690243260.zip"
